name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2022-06-10,19.2,14.2,16.2,19.2,14.2,16.2,13.8,86.3,1.451,100,20.83,rain,0,0,42.1,14.6,195,1013.6,93.8,14.8,140.5,12.1,7,10,2022-06-10T05:11:46,2022-06-10T21:06:17,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-06-11,21.2,13.4,16.3,21.2,13.4,16.3,11.3,74.7,0.363,100,8.33,rain,0,0,25.9,13.6,205.2,1013.2,81.7,15.7,224.7,19.4,9,10,2022-06-11T05:11:33,2022-06-11T21:06:53,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-12,15.1,11.3,13,15.1,11.3,13,8.3,73.5,0.717,100,12.5,rain,0,0,30.9,15.9,212,1010.9,99.6,14.9,129.2,11.1,6,10,2022-06-12T05:11:22,2022-06-12T21:07:27,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-13,15.5,9.4,12.2,15.5,7.8,11.9,7.4,73.5,0.523,100,16.67,rain,0,0,44.7,23.7,190.1,1017.6,96.3,15.6,130.1,11.3,5,10,2022-06-13T05:11:14,2022-06-13T21:07:59,0.49,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-14,16.4,9,13.1,16.4,7.5,13,7.4,69.6,1.108,100,8.33,rain,0,0,30.6,14.8,203.2,1022.4,96.8,15.7,162.2,13.9,6,10,2022-06-14T05:11:08,2022-06-14T21:08:28,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
seattle,2022-06-15,16.5,10.9,13.7,16.5,10.9,13.7,8.4,70.7,0,0,0,,0,0,17.6,8.4,321.3,1016.4,66.7,15.8,141.8,12.4,6,10,2022-06-15T05:11:05,2022-06-15T21:08:55,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-16,20,11,15.4,20,11,15.4,9.5,69.5,0.045,100,4.17,rain,0,0,33.8,13.9,235.1,1012.8,65.3,15.5,295,25.5,10,10,2022-06-16T05:11:05,2022-06-16T21:09:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,KSEA,KBFI,E8046,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-17,14.8,12.4,13.4,14.8,12.4,13.4,10.3,81.9,2.117,100,33.33,rain,0,0,34.9,13.3,281.5,1010.5,84,14.8,62.3,5.5,2,10,2022-06-17T05:11:07,2022-06-17T21:09:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-18,16.5,11.7,13.8,16.5,11.7,13.8,9.5,75.9,0.025,100,4.17,rain,0,0,29.5,15.3,186.8,1015.8,99.4,16,130.2,11.2,7,10,2022-06-18T05:11:11,2022-06-18T21:10:02,0.62,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-19,18.8,11.7,15,18.8,11.7,15,9.4,69.9,0,0,0,rain,0,0,24.8,11.4,216.5,1022.1,96.2,16,242.4,21,9,10,2022-06-19T05:11:18,2022-06-19T21:10:19,0.67,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-20,19.3,12.2,15.5,19.3,12.2,15.5,9.4,68.2,0,0,0,rain,0,0,13.3,11.5,264.6,1026.4,79.5,15.7,174.7,14.9,8,10,2022-06-20T05:11:28,2022-06-20T21:10:34,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-21,24.4,11.7,18,24.4,11.7,18,11.2,67.6,0,0,0,,0,0,15.5,10.2,297.7,1025.8,39.7,15.1,319,27.5,9,10,2022-06-21T05:11:40,2022-06-21T21:10:47,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-22,18.9,14.5,16.3,18.9,14.5,16.3,12.7,79.7,0.28,100,8.33,rain,0,0,23.4,11.5,320.5,1020.9,83.8,13.3,112.9,9.7,4,10,2022-06-22T05:11:55,2022-06-22T21:10:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-23,20.8,12.1,16.1,20.8,12.1,16.1,6.7,56.1,0,0,0,rain,0,0,27.7,16.6,337.1,1020.8,54.4,16,309,26.8,9,10,2022-06-23T05:12:12,2022-06-23T21:11:04,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-24,24.1,10.8,18.1,24.1,10.8,18.1,7.1,51.1,0,0,0,,0,0,33.5,23.8,341,1022,2.8,16,331,28.7,9,10,2022-06-24T05:12:31,2022-06-24T21:11:08,0.91,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-25,29,15.1,22.7,28.2,15.1,22.5,10.3,46.7,0,0,0,,0,0,37.2,23.1,330.3,1020,6.6,16,328.1,28.3,9,10,2022-06-25T05:12:53,2022-06-25T21:11:10,0.95,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-26,30.9,18.4,24.7,29.6,18.4,24.4,10.8,42.7,0,0,0,,0,0,35.3,26.6,329,1016.7,2.1,16,332.3,28.9,9,10,2022-06-26T05:13:17,2022-06-26T21:11:10,0.97,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
